date,negative,neutral,positive,compound,stockprice
15-Jan,0.060181,0.77152,0.168308,0.2191912,13.81
16-Jan,0.059048,0.767561,0.173383,0.2099631,13.89
17-Jan,0.059893,0.797574,0.142536,0.207105,13.75
18-Jan,0.059474,0.755433,0.185091,0.2082456,13.75
19-Jan,0.058063,0.791333,0.150604,0.2156155,13.75
20-Jan,0.050639,0.801617,0.147737,0.2596205,13.75
21-Jan,0.083268,0.752594,0.164132,0.1801898,13.65
22-Jan,0.06957,0.782088,0.148348,0.176855,13.46
23-Jan,0.068673,0.787787,0.143542,0.174016,13.42
24-Jan,0.070448,0.775065,0.154495,0.1832643,13.35
25-Jan,0.098921,0.758777,0.142311,0.0977219,13.35
26-Jan,0.09874,0.76433,0.13693,0.0746106,13.35
27-Jan,0.108838,0.764051,0.127101,0.0123354,13.07
28-Jan,0.04434,0.787132,0.168512,0.2573908,13.28
29-Jan,0.087691,0.729252,0.183075,0.2233824,13.24
30-Jan,0.089708,0.787662,0.122629,0.1057505,13.26
31-Jan,0.101598,0.78061,0.117789,0.062315,13.02
